user_count,idea_count,comment_count,date
135,159,103,2022-04-15T23:32:11.502+00:00
135,159,103,2022-04-16T23:31:09.835+00:00
135,159,103,2022-04-17T23:31:53.563+00:00
135,159,103,2022-04-18T23:28:21.208+00:00
135,159,103,2022-04-19T23:29:01.302+00:00
135,159,103,2022-04-20T23:32:49.176+00:00
135,159,103,2022-04-21T23:29:50.394+00:00
135,159,103,2022-04-22T23:32:24.718+00:00
135,159,103,2022-04-23T23:32:10.498+00:00
135,159,103,2022-04-24T23:31:41.488+00:00
135,159,103,2022-04-25T23:33:52.567+00:00
135,159,103,2022-04-26T23:33:05.487+00:00
135,159,103,2022-04-27T23:36:49.654+00:00
135,159,103,2022-04-28T23:33:09.033+00:00
135,159,103,2022-04-29T23:32:47.218+00:00
135,159,103,2022-04-30T23:31:44.995+00:00
135,159,103,2022-05-01T23:32:10.311+00:00
135,159,103,2022-05-02T23:33:45.638+00:00
135,159,103,2022-05-03T23:31:41.117+00:00
135,159,103,2022-05-04T23:33:34.622+00:00
135,159,103,2022-05-05T23:33:32.543+00:00
136,159,103,2022-05-06T23:32:57.886+00:00
136,159,103,2022-05-07T23:32:25.370+00:00
136,159,103,2022-05-08T23:32:28.880+00:00
136,159,103,2022-05-09T23:33:19.218+00:00
136,159,103,2022-05-10T23:34:53.049+00:00
137,159,103,2022-05-11T23:35:13.395+00:00
137,159,103,2022-05-12T23:35:03.684+00:00
137,159,103,2022-05-13T23:36:51.603+00:00
137,159,103,2022-05-14T23:33:11.544+00:00
137,159,103,2022-05-15T23:33:38.381+00:00
137,159,103,2022-05-16T23:34:06.248+00:00
137,159,103,2022-05-17T23:32:24.605+00:00
137,159,103,2022-05-18T23:33:50.435+00:00
